Distance,Time,Weather,Transport
5,10,Sunny,Bike
15,30,Rainy,Car
2,5,Cloudy,Walk
10,25,Sunny,Bus
20,35,Rainy,Car
8,10,Rainy,Car
10,34,Cloudy,Bus
11,29,Sunny,Bike
9,10,Rainy,Walk
23,36,Rainy,Car
1,6,Sunny,Bike
7,5,Sunny,Walk
2,3,Sunny,Bus
15,27,Sunny,Car
23,36,Sunny,Bus
15,30,Cloudy,Walk
3,9,Cloudy,Bike
7,5,Cloudy,Bike
15,25,Rainy,Bus
9,28,Sunny,Car
8,21,Rainy,Car
9,26,Sunny,Car
4,8,Rainy,Bike
8,24,Rainy,Bike
0,6,Cloudy,Car
5,26,Sunny,Bike
16,33,Sunny,Bus
3,13,Rainy,Bus
10,14,Sunny,Car
16,30,Cloudy,Walk
17,35,Sunny,Car
15,28,Sunny,Bus
11,24,Cloudy,Bike
16,25,Sunny,Bike
3,13,Sunny,Walk
6,4,Sunny,Bus
13,32,Cloudy,Walk
7,12,Rainy,Bike
1,9,Cloudy,Walk
7,30,Rainy,Walk
17,31,Cloudy,Car
24,39,Cloudy,Car
16,31,Sunny,Bus
10,7,Cloudy,Bike
14,26,Rainy,Bus
10,14,Cloudy,Car
4,13,Rainy,Car
11,29,Sunny,Bus
10,29,Sunny,Car
16,33,Sunny,Bike
