Furry,Barks,Size,Pet
Yes,Yes,Large,Dog
Yes,No,Small,Cat
No,No,Small,Cat
Yes,Yes,Medium,Dog
No,No,Small,Cat
Yes,No,Small,Dog
Yes,Yes,Medium,Cat
Yes,Yes,Large,Cat
Yes,No,Large,Cat
No,Yes,Small,Cat
No,Yes,Small,Cat
Yes,Yes,Medium,Cat
No,No,Medium,Cat
Yes,No,Large,Cat
Yes,No,Medium,Dog
Yes,No,Small,Cat
No,Yes,Small,Dog
Yes,Yes,Medium,Dog
Yes,No,Small,Dog
No,Yes,Large,Dog
No,No,Medium,Cat
No,No,Large,Dog
No,Yes,Small,Dog
Yes,Yes,Medium,Cat
Yes,Yes,Small,Cat
Yes,Yes,Large,Dog
No,Yes,Small,Dog
Yes,Yes,Small,Dog
Yes,Yes,Medium,Cat
Yes,No,Small,Cat
Yes,No,Large,Cat
Yes,No,Medium,Dog
Yes,No,Small,Dog
Yes,No,Large,Cat
Yes,No,Small,Cat
Yes,No,Medium,Dog
Yes,Yes,Medium,Dog
Yes,Yes,Medium,Cat
Yes,Yes,Large,Cat
Yes,Yes,Small,Cat
Yes,No,Small,Cat
No,No,Small,Cat
Yes,No,Medium,Cat
Yes,No,Large,Cat
No,Yes,Small,Dog
Yes,No,Medium,Cat
No,No,Small,Cat
Yes,No,Small,Cat
Yes,No,Medium,Cat
Yes,No,Small,Dog
