runtime,rating,genre
120,8.2,Action
90,7.5,Comedy
105,6.8,Drama
75,7.7,Action
89,8.2,Drama
88,3.4,Drama
93,8.9,Comedy
45,7.7,Drama
77,9.0,Action
138,8.6,Action
114,8.5,Action
120,7.3,Action
118,7.2,Action
110,8.7,Action
135,7.3,Action
102,7.0,Action
101,8.4,Action
129,7.4,Action
120,8.2,Action
121,7.0,Action
124,7.6,Action
127,8.9,Action
114,7.9,Action
102,8.7,Action
106,7.3,Action
138,7.0,Action
124,8.9,Action
108,7.0,Action
101,8.4,Action
94,7.5,Comedy
91,7.2,Comedy
94,6.8,Comedy
96,6.9,Comedy
87,7.6,Comedy
109,7.3,Comedy
89,7.4,Comedy
108,8.0,Comedy
105,7.2,Comedy
89,7.8,Comedy
93,7.6,Comedy
94,6.6,Comedy
102,7.3,Comedy
109,7.0,Comedy
95,7.6,Comedy
94,7.7,Comedy
105,7.9,Comedy
107,7.3,Comedy
88,6.9,Comedy
92,6.6,Comedy
96,7.1,Drama
90,6.5,Drama
113,6.0,Drama
108,7.8,Drama
92,8.0,Drama
116,6.2,Drama
96,7.6,Drama
117,8.2,Drama
97,7.1,Drama
90,6.2,Drama
112,7.7,Drama
94,7.8,Drama
97,6.7,Drama
92,7.2,Drama
94,8.4,Drama
92,7.9,Drama
115,6.6,Drama
103,7.2,Drama
98,7.8,Drama
115,6.1,Drama
