runtime,rating,genre
158,9.2,Action
134,9.1,Action
140,8.2,Action
138,8.1,Action
130,9.3,Action
155,8.2,Action
122,8,Action
121,9.1,Action
149,8.3,Action
140,8.9,Action
141,8,Action
144,8.4,Action
147,9.5,Action
134,8.7,Action
122,9.3,Action
126,8.3,Action
158,8,Action
144,9.4,Action
128,8,Action
121,9,Action
126,8.9,Action
127,8.1,Action
133,8.6,Action
159,9.1,Action
125,8.3,Action
123,8.3,Action
137,9.2,Action
153,8.6,Action
155,8.9,Action
134,8.1,Action
142,8.8,Action
159,9.3,Action
137,8.8,Action
143,8.5,Action
148,9.2,Action
120,8,Action
128,9.2,Action
127,8,Action
130,8.3,Action
127,9.1,Action
75,6.7,Comedy
84,6.4,Comedy
83,7.1,Comedy
83,6.7,Comedy
76,6.1,Comedy
97,6.4,Comedy
98,6.8,Comedy
86,6.8,Comedy
77,6.6,Comedy
79,7.2,Comedy
77,6.9,Comedy
97,6.9,Comedy
81,6,Comedy
89,6.5,Comedy
84,6.5,Comedy
93,6,Comedy
81,6.6,Comedy
78,7.1,Comedy
97,6.7,Comedy
89,6.9,Comedy
78,7.1,Comedy
81,6.3,Comedy
96,7.1,Comedy
84,7,Comedy
99,6.1,Comedy
86,6.2,Comedy
85,6.4,Comedy
97,7.1,Comedy
81,7.1,Comedy
75,6.3,Comedy
99,7,Comedy
83,6.4,Comedy
80,6.6,Comedy
83,6.6,Comedy
75,6.1,Comedy
86,6.3,Comedy
96,6.3,Comedy
98,6.8,Comedy
91,6.1,Comedy
94,6.3,Comedy
106,7.6,Drama
116,7.3,Drama
116,7.4,Drama
101,7.6,Drama
104,7.5,Drama
100,7.4,Drama
101,7.6,Drama
105,7.4,Drama
103,7.3,Drama
116,7.8,Drama
104,7.7,Drama
105,7.5,Drama
115,7.8,Drama
108,7.5,Drama
105,7.8,Drama
102,7.7,Drama
103,7.2,Drama
102,7.8,Drama
119,7.7,Drama
119,8,Drama
107,7.5,Drama
117,7.9,Drama
110,7.5,Drama
117,7.9,Drama
109,7.4,Drama
115,7.9,Drama
119,7.6,Drama
101,8,Drama
111,7.6,Drama
108,7.4,Drama
118,7.8,Drama
102,7.9,Drama
100,7.7,Drama
110,7.9,Drama
103,7.9,Drama
119,7.7,Drama
115,7.3,Drama
102,8,Drama
117,7.3,Drama
117,7.6,Drama
